# ra dec dm_bonsai
232.575988 64.936829 373.588419
53.211292 25.728363 1708.045864
147.713828 52.512120 920.954245
81.750111 79.984880 473.149554
20.759902 -6.409128 525.754506
58.370780 10.785200 368.948265
65.373960 73.631767 100.318308
299.431162 31.115453 165.646110
16.357005 60.528681 954.049214
83.134928 33.203252 377.969860
190.111058 65.122925 329.865316
189.539763 82.151674 240.273165
29.208207 65.734903 150.792383
65.375678 73.650816 104.130387
60.011895 55.483067 473.875151
282.213707 85.018971 171.416870
300.721035 55.872914 694.906150
318.608865 29.878833 696.992334
175.901119 63.518239 1073.820675
147.988280 33.930230 234.587283
262.435904 81.164950 444.546958
243.864015 25.430363 897.972558
74.001203 63.387505 339.425760
157.258469 38.275951 422.886218
215.617289 59.922694 113.532179
269.067194 49.715136 568.882006
355.129550 44.946913 298.795345
308.262772 81.309191 343.283049
233.244396 40.032549 475.566200
355.207546 46.624309 124.076138
214.987720 39.272331 670.263456
137.083763 89.197900 394.576109
273.344808 56.308285 824.923977
351.090686 17.361833 628.937202
202.739216 64.716935 791.902196
307.047913 57.029111 431.138097
33.669369 23.571444 589.100038
47.392781 24.103595 318.254577
198.149415 72.943901 2406.857104
162.628971 78.536047 137.631084
264.431837 62.620761 517.425184
127.660043 73.867960 629.966175
183.523700 53.695605 595.823666
216.399884 47.458361 350.277809
70.021441 43.072019 284.623874
138.822252 42.155368 1078.497178
175.870453 60.017618 599.242248
178.576172 46.711697 1150.978309
252.663646 32.434983 2065.572831
93.410970 39.340099 284.297913
254.818251 47.564401 453.394804
306.264540 53.526901 396.115691
290.445964 59.804650 1107.525212
4.878176 71.349474 1726.940557
17.908783 69.390470 583.529623
285.941475 58.241391 319.618147
181.184967 71.542935 1914.251575
17.852277 14.109856 611.283847
73.899991 63.384819 339.403651
346.114053 48.435863 83.604043
278.521043 84.867584 203.972025
230.640741 25.857971 291.835380
297.532836 80.760691 1335.685284
29.515542 65.733621 150.297026
90.072900 38.554640 471.087880
130.937721 68.323705 1058.220651
188.171070 56.158711 1386.297760
52.442411 86.968025 268.153688
29.464614 65.737321 150.935273
174.959205 21.594469 540.117741
181.108052 27.578108 92.524145
355.126803 44.557706 225.067429
45.368915 46.139873 659.261039
115.232697 60.272838 540.876734
182.187714 54.851692 658.725800
239.408756 7.322511 545.281826
29.894690 65.724565 151.505174
34.036226 88.177591 240.943674
349.047645 44.940281 315.014542
29.464901 65.733253 150.227683
120.286696 22.157709 320.289055
182.746986 12.434900 259.100980
303.346332 73.641100 240.087383
31.446826 78.376997 700.849698
7.351161 10.220656 714.368666
250.351107 63.849573 528.509382
265.169776 54.358869 464.754473
137.201150 42.012289 912.447082
238.439117 19.775073 359.558654
345.978972 83.373566 700.557209
20.420991 79.704036 1048.140700
245.744551 50.522732 1000.248347
255.297302 50.507667 183.265585
115.758835 87.046377 987.331318
29.785511 20.959581 1333.624724
125.421726 55.948256 148.647117
196.960461 69.178527 520.471935
171.074485 27.994548 830.717334
307.829772 29.887085 1091.165846
9.326493 26.718774 655.470959
21.726961 21.389641 326.003990
93.650377 19.728932 355.513004
104.280183 11.063096 1194.062587
187.924094 65.116882 330.641713
221.793810 59.910759 1880.154087
262.905940 45.836799 690.338817
70.540241 35.589755 397.597214
234.840857 -6.250764 479.775398
266.201180 63.821230 337.463292
22.204359 46.114303 251.049705
333.235548 46.128424 161.315090
0.928553 21.803006 809.300000
32.791481 83.400837 94.726216
108.053673 5.159296 177.552328
253.575275 1.253793 106.628685
64.953714 47.441042 285.893979
131.676681 50.163961 440.539832
247.007210 41.423111 186.344836
217.059685 26.775360 150.585101
260.098885 13.528300 1271.440229
257.585525 61.053769 383.620592
108.250180 -2.984760 250.162628
9.021049 19.168537 849.475173
45.587800 54.281587 835.664433
76.268532 82.058129 684.321221
19.344302 52.324431 1362.290230
84.968954 68.675679 1085.039729
192.300219 27.155239 425.695466
192.493085 27.154301 423.667457
244.005453 70.907605 588.458466
261.435423 74.996649 269.730551
115.420383 74.594442 812.624127
208.886954 31.676458 1155.299212
331.865041 17.373962 344.912903
39.775484 23.574406 619.110782
253.402197 11.546456 171.543406
354.403139 78.596534 335.698683
2.567098 35.119673 414.854184
199.279849 17.559077 664.922023
349.592637 37.499310 1168.899672
50.399492 51.577811 1100.321170
214.787413 28.800456 419.977679
217.228584 28.374074 282.196950
236.754227 81.225801 294.269667
297.824836 20.566215 229.437592
339.011082 5.297696 217.101002
45.791285 27.813947 503.356562
